contrast,delta_success,delta_strict_success,delta_safe_delivery,delta_operational_score,delta_degraded,delta_exposure,delta_attrition
crowd_vs_auto_clean,,,,,,,
gated_vs_crowd_clean,,,,,,,
stale_vs_crowd_clean,,,,,,,
crowd_vs_auto_degraded,0.002083333333333437,0.002083333333333437,0.08749999999999991,2.327638504511839,-0.1479166666666667,-0.003892917240212748,-0.009548611111111105
gated_vs_crowd_degraded,0.0,0.0,0.03541666666666676,0.06601177811140246,-0.04166666666666663,-0.0026902379946604216,-0.0024305555555555677
stale_vs_crowd_degraded,-0.002083333333333215,-0.002083333333333215,-0.022916666666666696,0.021157676283849014,0.006250000000000089,-0.0038623719500688186,0.004687499999999997
crowd_vs_auto_severe,0.006249999999999978,0.006249999999999978,0.05833333333333335,1.7985564865045518,-0.10833333333333339,-0.005940014629198714,-0.0015624999999999944
gated_vs_crowd_severe,-0.004166666666666763,-0.004166666666666763,-0.027083333333333348,-0.18791719459535727,0.029166666666666674,0.0005929315764457987,0.003993055555555555
stale_vs_crowd_severe,-0.008333333333333415,-0.008333333333333415,-0.016666666666666607,0.1327501571199008,0.027083333333333348,-0.0005313781304022019,0.0005208333333333454
balanced_vs_homogeneous_perfect,-0.005208333333333259,-0.005208333333333259,-0.09895833333333326,-1.0323583711714548,-0.41145833333333326,-0.020089229564131186,0.042534722222222224
relay_vs_homogeneous_perfect,-0.01041666666666674,-0.01041666666666674,-0.22916666666666669,-2.540588405534592,-0.22395833333333326,-0.013583247013557148,0.052951388888888895
balanced_vs_homogeneous_delayed,-0.0009469696969696129,-0.0009469696969696129,-0.08854166666666663,-0.8512636077393267,-0.3484848484848485,-0.021721380079440203,0.04131155303030304
relay_vs_homogeneous_delayed,-0.0028409090909090606,-0.0028409090909090606,-0.1254734848484848,-1.5265592833680444,-0.2888257575757577,-0.018216899092047115,0.0452572601010101
balanced_vs_homogeneous_noisy,,,,,,,
relay_vs_homogeneous_noisy,,,,,,,
balanced_vs_homogeneous_scout_belief,-0.0037878787878787845,-0.0037878787878787845,-0.10653409090909094,-0.6031902923844825,-0.3617424242424243,-0.019079331119672457,0.03827335858585858
relay_vs_homogeneous_scout_belief,-0.0028409090909090606,-0.0028409090909090606,-0.1680871212121211,-1.9185483715471605,-0.29166666666666663,-0.014681243843941358,0.04300820707070707
balanced_vs_homogeneous_no_shared,0.0,0.0,-0.16145833333333331,0.4919427480581362,-0.28645833333333337,-0.021130413157315536,0.04644097222222222
relay_vs_homogeneous_no_shared,-0.01041666666666663,-0.01041666666666663,-0.17708333333333331,-0.7810273449759393,-0.27604166666666663,-0.017763006139796034,0.045572916666666664
