stress,map_mode,command_mode,contrast,metric,delta,ci95_low,ci95_high,n_left,n_right
degraded,delayed,autonomous,balanced_hetero_minus_no_relay,safe_delivery_success,-0.09375,-0.34375,0.15625,32,32
degraded,delayed,autonomous,balanced_hetero_minus_no_relay,operational_score,-0.9343666096460765,-3.825526426155755,1.9143221645707884,32,32
degraded,delayed,autonomous,balanced_hetero_minus_no_relay,degraded_outcome,0.15625,-0.0625,0.40625,32,32
degraded,delayed,autonomous,balanced_hetero_minus_no_relay,attrition_rate,-0.0078124999999999965,-0.028645833333333336,0.013020833333333332,32,32
degraded,delayed,autonomous,balanced_hetero_minus_no_relay,exposure_per_agent_step,0.009024669738882773,-0.00047876187791548165,0.018839979578027872,32,32
degraded,delayed,autonomous,balanced_hetero_minus_no_relay,mean_effective_map_delay,-3.892703201970445,-4.0,-3.7481527093596068,32,32
degraded,delayed,autonomous,balanced_hetero_minus_no_relay,payload_fraction,0.0,-0.09375,0.109375,32,32
degraded,delayed,autonomous,relay_rich_minus_no_relay,safe_delivery_success,-0.03125,-0.28125,0.21875,32,32
degraded,delayed,autonomous,relay_rich_minus_no_relay,operational_score,-1.8523611208467514,-4.691333972662798,0.9843223422176862,32,32
degraded,delayed,autonomous,relay_rich_minus_no_relay,degraded_outcome,0.03125,-0.21875,0.28125,32,32
degraded,delayed,autonomous,relay_rich_minus_no_relay,attrition_rate,3.469446951953614e-18,-0.023437499999999997,0.0234375,32,32
degraded,delayed,autonomous,relay_rich_minus_no_relay,exposure_per_agent_step,0.008467162851401366,-0.000494458301015599,0.017359957463889877,32,32
degraded,delayed,autonomous,relay_rich_minus_no_relay,mean_effective_map_delay,-7.777328878889216,-7.934523809523809,-7.586363638860448,32,32
degraded,delayed,autonomous,relay_rich_minus_no_relay,payload_fraction,-0.046875,-0.125,0.03125,32,32
degraded,delayed,autonomous,relay_rich_standardized_minus_no_relay,safe_delivery_success,-0.25,-0.46875,0.0,32,32
degraded,delayed,autonomous,relay_rich_standardized_minus_no_relay,operational_score,-4.082134879729097,-7.046411006800504,-1.2077162981556324,32,32
degraded,delayed,autonomous,relay_rich_standardized_minus_no_relay,degraded_outcome,0.28125,0.03125,0.5,32,32
degraded,delayed,autonomous,relay_rich_standardized_minus_no_relay,attrition_rate,0.020833333333333332,-0.0078125,0.05208333333333332,32,32
degraded,delayed,autonomous,relay_rich_standardized_minus_no_relay,exposure_per_agent_step,0.0046299766814570376,-0.006193810078320828,0.014483662669915525,32,32
degraded,delayed,autonomous,relay_rich_standardized_minus_no_relay,mean_effective_map_delay,-7.717804748941319,-7.910087719298246,-7.454122712492439,32,32
degraded,delayed,autonomous,relay_rich_standardized_minus_no_relay,payload_fraction,-0.046875,-0.140625,0.046875,32,32
degraded,delayed,autonomous,relay_rich_scout_matched_minus_no_relay,safe_delivery_success,-0.3125,-0.53125,-0.09375,32,32
degraded,delayed,autonomous,relay_rich_scout_matched_minus_no_relay,operational_score,-2.616048802275003,-5.226907988506505,0.1847725151928239,32,32
degraded,delayed,autonomous,relay_rich_scout_matched_minus_no_relay,degraded_outcome,0.34375,0.125,0.5625,32,32
degraded,delayed,autonomous,relay_rich_scout_matched_minus_no_relay,attrition_rate,0.028645833333333332,0.0026041666666666713,0.052148437499999645,32,32
degraded,delayed,autonomous,relay_rich_scout_matched_minus_no_relay,exposure_per_agent_step,0.00981171927384522,0.0012434922649039064,0.01832518192847132,32,32
degraded,delayed,autonomous,relay_rich_scout_matched_minus_no_relay,mean_effective_map_delay,-7.764762083991326,-7.904617474389835,-7.585863614819277,32,32
degraded,delayed,autonomous,relay_rich_scout_matched_minus_no_relay,payload_fraction,-0.03125,-0.125,0.046875,32,32
degraded,delayed,autonomous,relay_rich_scout_matched_standardized_minus_no_relay,safe_delivery_success,-0.125,-0.375,0.125,32,32
degraded,delayed,autonomous,relay_rich_scout_matched_standardized_minus_no_relay,operational_score,-0.3311587228329671,-3.2379824111605204,2.6766296189044363,32,32
degraded,delayed,autonomous,relay_rich_scout_matched_standardized_minus_no_relay,degraded_outcome,0.15625,-0.09375,0.375,32,32
degraded,delayed,autonomous,relay_rich_scout_matched_standardized_minus_no_relay,attrition_rate,0.007812500000000003,-0.015625,0.031249999999999997,32,32
degraded,delayed,autonomous,relay_rich_scout_matched_standardized_minus_no_relay,exposure_per_agent_step,0.0016518394540418202,-0.0073331217315843085,0.010584851504142513,32,32
degraded,delayed,autonomous,relay_rich_scout_matched_standardized_minus_no_relay,mean_effective_map_delay,-7.820532510252905,-7.963815789473684,-7.664297222103555,32,32
degraded,delayed,autonomous,relay_rich_scout_matched_standardized_minus_no_relay,payload_fraction,0.03125,-0.0625,0.140625,32,32
degraded,delayed,crowd_vector,balanced_hetero_minus_no_relay,safe_delivery_success,-0.03125,-0.25078124999999996,0.1875,32,32
degraded,delayed,crowd_vector,balanced_hetero_minus_no_relay,operational_score,0.3476672137973651,-2.6362849276550504,3.0371060294452885,32,32
degraded,delayed,crowd_vector,balanced_hetero_minus_no_relay,degraded_outcome,0.0,-0.25,0.21953124999999574,32,32
degraded,delayed,crowd_vector,balanced_hetero_minus_no_relay,attrition_rate,0.010416666666666664,-0.013020833333333336,0.033854166666666664,32,32
degraded,delayed,crowd_vector,balanced_hetero_minus_no_relay,exposure_per_agent_step,0.0017444953704857658,-0.008365238776612653,0.011203064061164466,32,32
degraded,delayed,crowd_vector,balanced_hetero_minus_no_relay,mean_effective_map_delay,-3.7147439359894,-3.906825657894736,-3.506753256164838,32,32
degraded,delayed,crowd_vector,balanced_hetero_minus_no_relay,payload_fraction,0.015625,-0.09375,0.125,32,32
degraded,delayed,crowd_vector,relay_rich_minus_no_relay,safe_delivery_success,0.09375,-0.125,0.34375,32,32
degraded,delayed,crowd_vector,relay_rich_minus_no_relay,operational_score,-1.4215004724153886,-3.898880947851885,1.1555391582620378,32,32
degraded,delayed,crowd_vector,relay_rich_minus_no_relay,degraded_outcome,-0.125,-0.34375,0.125,32,32
degraded,delayed,crowd_vector,relay_rich_minus_no_relay,attrition_rate,-0.0078125,-0.031249999999999997,0.013020833333333336,32,32
degraded,delayed,crowd_vector,relay_rich_minus_no_relay,exposure_per_agent_step,0.007201951868114731,-0.003365167804703114,0.016681235166572276,32,32
degraded,delayed,crowd_vector,relay_rich_minus_no_relay,mean_effective_map_delay,-7.913898442659036,-7.996651785714286,-7.82649818401937,32,32
degraded,delayed,crowd_vector,relay_rich_minus_no_relay,payload_fraction,-0.078125,-0.171875,0.0,32,32
degraded,delayed,crowd_vector,relay_rich_standardized_minus_no_relay,safe_delivery_success,-0.0625,-0.3125,0.1875,32,32
degraded,delayed,crowd_vector,relay_rich_standardized_minus_no_relay,operational_score,-0.7065132458928645,-3.8150738699430566,2.558690443622699,32,32
degraded,delayed,crowd_vector,relay_rich_standardized_minus_no_relay,degraded_outcome,0.125,-0.09453124999999996,0.34375,32,32
degraded,delayed,crowd_vector,relay_rich_standardized_minus_no_relay,attrition_rate,0.015624999999999993,-0.010416666666666664,0.04166666666666667,32,32
degraded,delayed,crowd_vector,relay_rich_standardized_minus_no_relay,exposure_per_agent_step,0.002492231959268912,-0.006210698960890045,0.0115562286545397,32,32
degraded,delayed,crowd_vector,relay_rich_standardized_minus_no_relay,mean_effective_map_delay,-7.696523354330183,-7.879546640405874,-7.490365758145365,32,32
degraded,delayed,crowd_vector,relay_rich_standardized_minus_no_relay,payload_fraction,0.078125,-0.03125,0.171875,32,32
degraded,delayed,crowd_vector,relay_rich_scout_matched_minus_no_relay,safe_delivery_success,0.0,-0.25,0.25,32,32
degraded,delayed,crowd_vector,relay_rich_scout_matched_minus_no_relay,operational_score,-0.3015863446323124,-2.7663315289555688,2.2256245827274284,32,32
degraded,delayed,crowd_vector,relay_rich_scout_matched_minus_no_relay,degraded_outcome,-0.03125,-0.28125,0.21875,32,32
degraded,delayed,crowd_vector,relay_rich_scout_matched_minus_no_relay,attrition_rate,0.018229166666666664,-0.010416666666666671,0.046875,32,32
degraded,delayed,crowd_vector,relay_rich_scout_matched_minus_no_relay,exposure_per_agent_step,-0.0006025518859368167,-0.010076095880816243,0.008864083868179589,32,32
degraded,delayed,crowd_vector,relay_rich_scout_matched_minus_no_relay,mean_effective_map_delay,-7.770848187278541,-7.923158482142856,-7.5889574758555876,32,32
degraded,delayed,crowd_vector,relay_rich_scout_matched_minus_no_relay,payload_fraction,-0.015625,-0.109375,0.09375,32,32
degraded,delayed,crowd_vector,relay_rich_scout_matched_standardized_minus_no_relay,safe_delivery_success,-0.03125,-0.25,0.21875,32,32
degraded,delayed,crowd_vector,relay_rich_scout_matched_standardized_minus_no_relay,operational_score,0.7124635486068485,-2.435983918613581,3.704460764156171,32,32
degraded,delayed,crowd_vector,relay_rich_scout_matched_standardized_minus_no_relay,degraded_outcome,0.0,-0.25,0.25,32,32
degraded,delayed,crowd_vector,relay_rich_scout_matched_standardized_minus_no_relay,attrition_rate,0.010416666666666664,-0.013020833333333336,0.033854166666666664,32,32
degraded,delayed,crowd_vector,relay_rich_scout_matched_standardized_minus_no_relay,exposure_per_agent_step,-0.003524228779695049,-0.013255941845305385,0.006179471536344793,32,32
degraded,delayed,crowd_vector,relay_rich_scout_matched_standardized_minus_no_relay,mean_effective_map_delay,-7.642880549073833,-7.831976892437631,-7.416628445890229,32,32
degraded,delayed,crowd_vector,relay_rich_scout_matched_standardized_minus_no_relay,payload_fraction,0.015625,-0.078125,0.125,32,32
degraded,scout_belief,autonomous,balanced_hetero_minus_no_relay,safe_delivery_success,0.125,-0.09375,0.34375,32,32
degraded,scout_belief,autonomous,balanced_hetero_minus_no_relay,operational_score,3.4382901525008407,0.23549692377538886,6.428694652546581,32,32
degraded,scout_belief,autonomous,balanced_hetero_minus_no_relay,degraded_outcome,-0.0625,-0.3125,0.1875,32,32
degraded,scout_belief,autonomous,balanced_hetero_minus_no_relay,attrition_rate,0.0,-0.02864583333333333,0.028645833333333336,32,32
degraded,scout_belief,autonomous,balanced_hetero_minus_no_relay,exposure_per_agent_step,0.0029176428416533007,-0.006786845417386284,0.013299460889050574,32,32
degraded,scout_belief,autonomous,balanced_hetero_minus_no_relay,mean_effective_map_delay,-3.9058600010233597,-3.993303571428571,-3.754385964912281,32,32
degraded,scout_belief,autonomous,balanced_hetero_minus_no_relay,payload_fraction,0.0625,-0.015625,0.15625,32,32
degraded,scout_belief,autonomous,relay_rich_minus_no_relay,safe_delivery_success,0.1875,-0.03125,0.4375,32,32
degraded,scout_belief,autonomous,relay_rich_minus_no_relay,operational_score,3.712033829928373,1.0487129766474113,6.607746524974033,32,32
degraded,scout_belief,autonomous,relay_rich_minus_no_relay,degraded_outcome,-0.1875,-0.4375,0.0625,32,32
degraded,scout_belief,autonomous,relay_rich_minus_no_relay,attrition_rate,-0.018229166666666664,-0.0390625,0.005208333333333336,32,32
degraded,scout_belief,autonomous,relay_rich_minus_no_relay,exposure_per_agent_step,0.00444879378366525,-0.00587842065880612,0.015166487478933163,32,32
degraded,scout_belief,autonomous,relay_rich_minus_no_relay,mean_effective_map_delay,-7.867012628554144,-8.0,-7.688293065638234,32,32
degraded,scout_belief,autonomous,relay_rich_minus_no_relay,payload_fraction,0.0625,-0.015625,0.15625,32,32
degraded,scout_belief,autonomous,relay_rich_standardized_minus_no_relay,safe_delivery_success,0.0,-0.25,0.21875,32,32
degraded,scout_belief,autonomous,relay_rich_standardized_minus_no_relay,operational_score,1.569622436880735,-1.3323128441290282,4.5036941543793265,32,32
degraded,scout_belief,autonomous,relay_rich_standardized_minus_no_relay,degraded_outcome,0.03125,-0.21875,0.28125,32,32
degraded,scout_belief,autonomous,relay_rich_standardized_minus_no_relay,attrition_rate,0.0026041666666666713,-0.026041666666666664,0.028645833333333336,32,32
degraded,scout_belief,autonomous,relay_rich_standardized_minus_no_relay,exposure_per_agent_step,-0.002310832738284585,-0.012576375611305944,0.007330043820107807,32,32
degraded,scout_belief,autonomous,relay_rich_standardized_minus_no_relay,mean_effective_map_delay,-7.7324421628648725,-7.916758418441599,-7.520924345086243,32,32
degraded,scout_belief,autonomous,relay_rich_standardized_minus_no_relay,payload_fraction,0.078125,-0.015625,0.171875,32,32
degraded,scout_belief,autonomous,relay_rich_scout_matched_minus_no_relay,safe_delivery_success,0.125,-0.125,0.34375,32,32
degraded,scout_belief,autonomous,relay_rich_scout_matched_minus_no_relay,operational_score,3.456594143584809,0.7649252572894245,6.357738656664492,32,32
degraded,scout_belief,autonomous,relay_rich_scout_matched_minus_no_relay,degraded_outcome,-0.125,-0.375,0.125,32,32
degraded,scout_belief,autonomous,relay_rich_scout_matched_minus_no_relay,attrition_rate,-0.013020833333333332,-0.036458333333333336,0.013020833333333329,32,32
degraded,scout_belief,autonomous,relay_rich_scout_matched_minus_no_relay,exposure_per_agent_step,0.004523361870651388,-0.006450486511226924,0.01494042528489299,32,32
degraded,scout_belief,autonomous,relay_rich_scout_matched_minus_no_relay,mean_effective_map_delay,-7.879503446115288,-7.975446428571429,-7.749555529448622,32,32
degraded,scout_belief,autonomous,relay_rich_scout_matched_minus_no_relay,payload_fraction,0.046875,-0.03125,0.125,32,32
degraded,scout_belief,autonomous,relay_rich_scout_matched_standardized_minus_no_relay,safe_delivery_success,0.09375,-0.15625,0.34375,32,32
degraded,scout_belief,autonomous,relay_rich_scout_matched_standardized_minus_no_relay,operational_score,1.7015014729878999,-1.351712388631763,4.666109198922189,32,32
degraded,scout_belief,autonomous,relay_rich_scout_matched_standardized_minus_no_relay,degraded_outcome,-0.0625,-0.3125,0.1875,32,32
degraded,scout_belief,autonomous,relay_rich_scout_matched_standardized_minus_no_relay,attrition_rate,0.0026041666666666644,-0.023502604166666663,0.031249999999999997,32,32
degraded,scout_belief,autonomous,relay_rich_scout_matched_standardized_minus_no_relay,exposure_per_agent_step,-0.002462582670762256,-0.01268865010180068,0.007995382676512702,32,32
degraded,scout_belief,autonomous,relay_rich_scout_matched_standardized_minus_no_relay,mean_effective_map_delay,-7.825354739218737,-7.952586206896552,-7.667644900235502,32,32
degraded,scout_belief,autonomous,relay_rich_scout_matched_standardized_minus_no_relay,payload_fraction,0.03125,-0.046875,0.109375,32,32
degraded,scout_belief,crowd_vector,balanced_hetero_minus_no_relay,safe_delivery_success,0.03125,-0.1875,0.25,32,32
degraded,scout_belief,crowd_vector,balanced_hetero_minus_no_relay,operational_score,0.7267776274326678,-2.312893037332487,3.9863312708011445,32,32
degraded,scout_belief,crowd_vector,balanced_hetero_minus_no_relay,degraded_outcome,-0.09375,-0.3125,0.125,32,32
degraded,scout_belief,crowd_vector,balanced_hetero_minus_no_relay,attrition_rate,0.0,-0.020833333333333332,0.020833333333333336,32,32
degraded,scout_belief,crowd_vector,balanced_hetero_minus_no_relay,exposure_per_agent_step,0.00648694680701066,-0.0016801234590533862,0.01471328454804761,32,32
degraded,scout_belief,crowd_vector,balanced_hetero_minus_no_relay,mean_effective_map_delay,-3.8514859346642467,-3.9795258620689644,-3.678359800362976,32,32
degraded,scout_belief,crowd_vector,balanced_hetero_minus_no_relay,payload_fraction,0.015625,-0.09375,0.109375,32,32
degraded,scout_belief,crowd_vector,relay_rich_minus_no_relay,safe_delivery_success,-0.1875,-0.40625,0.0625,32,32
degraded,scout_belief,crowd_vector,relay_rich_minus_no_relay,operational_score,-1.774660601219722,-5.183277813328173,1.752222561707156,32,32
degraded,scout_belief,crowd_vector,relay_rich_minus_no_relay,degraded_outcome,0.1875,-0.0625,0.40625,32,32
degraded,scout_belief,crowd_vector,relay_rich_minus_no_relay,attrition_rate,0.010416666666666664,-0.015624999999999997,0.03385416666666667,32,32
degraded,scout_belief,crowd_vector,relay_rich_minus_no_relay,exposure_per_agent_step,0.013662821352500576,0.00460507290817744,0.023070551527733442,32,32
degraded,scout_belief,crowd_vector,relay_rich_minus_no_relay,mean_effective_map_delay,-7.658318553044052,-7.840324967186285,-7.4414034701025695,32,32
degraded,scout_belief,crowd_vector,relay_rich_minus_no_relay,payload_fraction,0.015625,-0.078125,0.125,32,32
degraded,scout_belief,crowd_vector,relay_rich_standardized_minus_no_relay,safe_delivery_success,-0.21875,-0.43828124999999996,0.03125,32,32
degraded,scout_belief,crowd_vector,relay_rich_standardized_minus_no_relay,operational_score,-1.7929708966739497,-4.904007939761014,1.0050651603510765,32,32
degraded,scout_belief,crowd_vector,relay_rich_standardized_minus_no_relay,degraded_outcome,0.1875,-0.0625,0.4375,32,32
degraded,scout_belief,crowd_vector,relay_rich_standardized_minus_no_relay,attrition_rate,0.015625,-0.0078125,0.036458333333333336,32,32
degraded,scout_belief,crowd_vector,relay_rich_standardized_minus_no_relay,exposure_per_agent_step,-0.004568294639567899,-0.012368673210761218,0.0035126475860714655,32,32
degraded,scout_belief,crowd_vector,relay_rich_standardized_minus_no_relay,mean_effective_map_delay,-7.663264779889792,-7.863736059663972,-7.4317576306749356,32,32
degraded,scout_belief,crowd_vector,relay_rich_standardized_minus_no_relay,payload_fraction,-0.015625,-0.109375,0.078125,32,32
degraded,scout_belief,crowd_vector,relay_rich_scout_matched_minus_no_relay,safe_delivery_success,-0.1875,-0.40625,0.03125,32,32
degraded,scout_belief,crowd_vector,relay_rich_scout_matched_minus_no_relay,operational_score,-1.7671656907404412,-4.77705045832781,1.2999154207776096,32,32
degraded,scout_belief,crowd_vector,relay_rich_scout_matched_minus_no_relay,degraded_outcome,0.125,-0.09375,0.375,32,32
degraded,scout_belief,crowd_vector,relay_rich_scout_matched_minus_no_relay,attrition_rate,0.018229166666666664,-0.005208333333333329,0.04166666666666666,32,32
degraded,scout_belief,crowd_vector,relay_rich_scout_matched_minus_no_relay,exposure_per_agent_step,0.007363000537032344,-0.0014737831579619434,0.01648101997800992,32,32
degraded,scout_belief,crowd_vector,relay_rich_scout_matched_minus_no_relay,mean_effective_map_delay,-7.861397436249977,-7.965290381125227,-7.741066750192488,32,32
degraded,scout_belief,crowd_vector,relay_rich_scout_matched_minus_no_relay,payload_fraction,-0.046875,-0.140625,0.03164062499999787,32,32
degraded,scout_belief,crowd_vector,relay_rich_scout_matched_standardized_minus_no_relay,safe_delivery_success,-0.1875,-0.40703124999999996,0.03125,32,32
degraded,scout_belief,crowd_vector,relay_rich_scout_matched_standardized_minus_no_relay,operational_score,-0.9869682741995973,-3.978414254180962,1.910082791034652,32,32
