stress,map_mode,command_mode,variant,fold,metric,delta,expected_direction,direction_matches
degraded,delayed,autonomous,relay_rich,0,safe_delivery_success,0.125,-1,False
degraded,delayed,autonomous,relay_rich,0,degraded_outcome,-0.125,1,False
degraded,delayed,autonomous,relay_rich,0,attrition_rate,-0.020833333333333325,1,False
degraded,delayed,autonomous,relay_rich,0,mean_effective_map_delay,-7.836206896551724,-1,True
degraded,delayed,autonomous,relay_rich,1,safe_delivery_success,0.0,-1,False
degraded,delayed,autonomous,relay_rich,1,degraded_outcome,0.0,1,False
degraded,delayed,autonomous,relay_rich,1,attrition_rate,0.010416666666666661,1,True
degraded,delayed,autonomous,relay_rich,1,mean_effective_map_delay,-7.899122807017544,-1,True
degraded,delayed,autonomous,relay_rich,2,safe_delivery_success,-0.375,-1,True
degraded,delayed,autonomous,relay_rich,2,degraded_outcome,0.375,1,True
degraded,delayed,autonomous,relay_rich,2,attrition_rate,0.020833333333333322,1,True
degraded,delayed,autonomous,relay_rich,2,mean_effective_map_delay,-7.615213882163035,-1,True
degraded,delayed,autonomous,relay_rich,3,safe_delivery_success,0.125,-1,False
degraded,delayed,autonomous,relay_rich,3,degraded_outcome,-0.125,1,False
degraded,delayed,autonomous,relay_rich,3,attrition_rate,-0.010416666666666663,1,False
degraded,delayed,autonomous,relay_rich,3,mean_effective_map_delay,-7.758771929824562,-1,True
degraded,delayed,autonomous,relay_rich_standardized,0,safe_delivery_success,-0.25,-1,True
degraded,delayed,autonomous,relay_rich_standardized,0,degraded_outcome,0.375,1,True
degraded,delayed,autonomous,relay_rich_standardized,0,attrition_rate,1.3877787807814457e-17,1,False
degraded,delayed,autonomous,relay_rich_standardized,0,mean_effective_map_delay,-7.657894736842105,-1,True
degraded,delayed,autonomous,relay_rich_standardized,1,safe_delivery_success,-0.375,-1,True
degraded,delayed,autonomous,relay_rich_standardized,1,degraded_outcome,0.375,1,True
degraded,delayed,autonomous,relay_rich_standardized,1,attrition_rate,0.010416666666666661,1,True
degraded,delayed,autonomous,relay_rich_standardized,1,mean_effective_map_delay,-7.868421052631579,-1,True
degraded,delayed,autonomous,relay_rich_standardized,2,safe_delivery_success,-0.375,-1,True
degraded,delayed,autonomous,relay_rich_standardized,2,degraded_outcome,0.25,1,True
degraded,delayed,autonomous,relay_rich_standardized,2,attrition_rate,0.04166666666666665,1,True
degraded,delayed,autonomous,relay_rich_standardized,2,mean_effective_map_delay,-7.640350877192983,-1,True
degraded,delayed,autonomous,relay_rich_standardized,3,safe_delivery_success,0.0,-1,False
degraded,delayed,autonomous,relay_rich_standardized,3,degraded_outcome,0.125,1,True
degraded,delayed,autonomous,relay_rich_standardized,3,attrition_rate,0.03125,1,True
degraded,delayed,autonomous,relay_rich_standardized,3,mean_effective_map_delay,-7.704552329098609,-1,True
degraded,delayed,autonomous,relay_rich_scout_matched,0,safe_delivery_success,-0.25,-1,True
degraded,delayed,autonomous,relay_rich_scout_matched,0,degraded_outcome,0.25,1,True
