seed,team,map_mode,command_mode,stress,stress_family,mission_profile,mission_success,success_time,first_threshold_time,strict_success,strict_success_time,alive_final,reached_final,n_payload,payload_reached,attrition_rate,early_attrition_rate,cumulative_exposure,exposure_per_agent_step,early_exposure_per_agent_step,recovery_time,mean_fragmentation,max_fragmentation,mean_consensus,mean_dispersion,mean_polarization,command_reversal_rate,early_mean_consensus,early_mean_dispersion,early_reversal_rate,early_map_mse,false_safe_rate,false_danger_rate,mean_effective_map_delay,collapse_time,failure_label,n_agents,reached_fraction,alive_fraction,payload_fraction,time_efficiency,exposure_safety,recovery_safety,operational_score,safe_delivery_success,degraded_outcome
167377686,homogeneous,perfect,autonomous,degraded,degraded,full_delivery,1,45,44,1,45,12,11,0.0,0,0.0,0.0,73.55293361696756,0.13324806814668036,0.08172548179663063,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,181,0,12.0,0.9166666666666666,1.0,0.9166666666666666,0.75,0.39432696296963476,0.55,79.52057748157489,1,1
167378695,homogeneous,perfect,autonomous,degraded,degraded,full_delivery,1,45,45,1,45,12,9,0.0,0,0.0,0.0,70.20175812745434,0.1271770980569825,0.07800195347494927,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,181,0,12.0,0.75,1.0,0.75,0.75,0.42192228155917055,0.55,72.90691194182838,1,1
167379704,homogeneous,perfect,autonomous,degraded,degraded,full_delivery,1,44,44,1,44,12,12,0.0,0,0.0,0.0,62.64292603937498,0.11600541859143514,0.06960325115486109,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,181,0,12.0,1.0,1.0,1.0,0.7555555555555555,0.4727026427662039,0.6,84.70672588761575,1,1
167380713,homogeneous,perfect,autonomous,degraded,degraded,full_delivery,1,45,44,1,45,11,11,0.0,0,0.08333333333333333,0.08333333333333333,61.47794873414418,0.11621540403429902,0.06830883192682687,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,181,0,12.0,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.75,0.471748163480459,0.6,79.60447428872641,0,1
167381722,homogeneous,perfect,autonomous,degraded,degraded,full_delivery,1,46,45,1,46,12,11,0.0,0,0.0,0.0,85.41539536570605,0.15144573646401782,0.09490599485078449,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,181,0,12.0,0.9166666666666666,1.0,0.9166666666666666,0.7444444444444445,0.31161028879991903,0.5,77.77365515430998,0,1
167382731,homogeneous,perfect,autonomous,degraded,degraded,full_delivery,1,45,45,1,45,11,11,0.0,0,0.08333333333333333,0.08333333333333333,66.81507723591645,0.1265437068862054,0.07423897470657383,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,181,0,12.0,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.75,0.42480133233543005,0.55,78.44721865269602,0,1
167383740,homogeneous,perfect,autonomous,degraded,degraded,full_delivery,1,45,44,1,45,12,12,0.0,0,0.0,0.0,59.81982825321332,0.1083692540819082,0.0664664758369037,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,181,0,12.0,1.0,1.0,1.0,0.75,0.5074124814458718,0.6,85.1037747402422,1,1
167384749,homogeneous,perfect,autonomous,degraded,degraded,full_delivery,1,44,44,1,44,12,9,0.0,0,0.0,0.0,62.13155227314916,0.11505843013546141,0.06903505808127684,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,181,0,12.0,0.75,1.0,0.75,0.7555555555555555,0.47700713574790266,0.6,74.26698878935953,1,1
167385758,homogeneous,perfect,autonomous,degraded,degraded,full_delivery,1,44,43,1,44,12,9,0.0,0,0.0,0.0,65.2104678926742,0.12076012572717446,0.07245607543630467,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,181,0,12.0,0.75,1.0,0.75,0.7555555555555555,0.4510903376037525,0.55,73.40415361534144,1,1
167386767,homogeneous,perfect,autonomous,degraded,degraded,full_delivery,1,45,44,1,45,12,11,0.0,0,0.0,0.0,82.36250387814275,0.14920743456185281,0.09151389319793639,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,181,0,12.0,0.9166666666666666,1.0,0.9166666666666666,0.75,0.3217843883552145,0.55,78.504981436973,1,1
