contrast,delta_success,delta_strict_success,delta_safe_delivery,delta_operational_score,delta_degraded,delta_exposure,delta_attrition
crowd_vs_auto_clean,,,,,,,
gated_vs_crowd_clean,,,,,,,
stale_vs_crowd_clean,,,,,,,
crowd_vs_auto_degraded,0.0016666666666667052,0.0016666666666667052,0.08500000000000008,2.1667172991035955,-0.1349999999999999,-0.006108123694908485,-0.0016666666666666774
gated_vs_crowd_degraded,0.0,0.0,0.011666666666666714,0.11933578174929949,-0.02833333333333332,-0.0011870490571185138,-0.0016666666666666705
stale_vs_crowd_degraded,-0.0033333333333334103,-0.0033333333333334103,0.0016666666666665941,-0.10649171583902728,-0.033333333333333326,-0.0019306592802014605,0.0015277777777777737
crowd_vs_auto_severe,0.0016666666666667052,0.0016666666666667052,0.016666666666666607,1.763091502965608,-0.08666666666666667,-0.005164453776761141,0.0069444444444444475
gated_vs_crowd_severe,0.0033333333333332993,0.0033333333333332993,0.0050000000000000044,-0.22792862195341002,-0.009999999999999898,0.0006871058582096634,-0.004166666666666652
stale_vs_crowd_severe,-1.1102230246251565e-16,-1.1102230246251565e-16,0.03333333333333344,0.040295159438073824,-0.01666666666666672,-6.093246196256508e-06,-0.005416666666666667
balanced_vs_homogeneous_perfect,,,,,,,
relay_vs_homogeneous_perfect,,,,,,,
balanced_vs_homogeneous_delayed,,,,,,,
relay_vs_homogeneous_delayed,,,,,,,
balanced_vs_homogeneous_noisy,,,,,,,
relay_vs_homogeneous_noisy,,,,,,,
balanced_vs_homogeneous_scout_belief,,,,,,,
relay_vs_homogeneous_scout_belief,,,,,,,
balanced_vs_homogeneous_no_shared,,,,,,,
relay_vs_homogeneous_no_shared,,,,,,,
