seed,team,map_mode,command_mode,stress,stress_family,mission_profile,policy,mission_success,success_time,first_threshold_time,strict_success,strict_success_time,alive_final,reached_final,n_payload,payload_reached,attrition_rate,early_attrition_rate,cumulative_exposure,exposure_per_agent_step,early_exposure_per_agent_step,recovery_time,mean_fragmentation,fragmentation_mean,max_fragmentation,lambda2_ctrl_mean,lambda2_ctrl_min,lambda2_ctrl_final,lambda2_post_mean,lambda2_per_alive_mean,lambda2_ctrl_n_steps,eigengap_mean,eigengap_min,eigengap_p01,lambda2_low_population_steps,lambda2_degenerate_steps,mean_consensus,mean_dispersion,mean_polarization,command_reversal_rate,early_mean_consensus,early_mean_dispersion,early_reversal_rate,early_map_mse,false_safe_rate,false_danger_rate,mean_effective_map_delay,collapse_time,failure_label,n_agents,reached_fraction,alive_fraction,payload_fraction,time_efficiency,exposure_safety,recovery_safety,operational_score,safe_delivery_success,degraded_outcome
823608857,no_relay_hetero,delayed,autonomous,degraded,degraded,full_delivery,baseline,1,55,45,1,55,10,10,2.0,1,0.16666666666666666,0.16666666666666666,70.27762946938729,0.11298654255528504,0.07808625496598588,8,0.0,0.0,0.0,8.65936964972119,5.570931044573057,8.064430808834445,8.661333157214626,0.7698017726089026,56,0.7894762279459783,0.014891179218055939,0.060270049229594676,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00042809540620113135,0.0,0.0,12.0,181,0,12.0,0.8333333333333334,0.8333333333333334,0.5,0.6944444444444444,0.48642480656688625,0.6,67.92105840304752,0,1
823609866,no_relay_hetero,delayed,autonomous,degraded,degraded,full_delivery,baseline,1,57,45,1,57,11,11,2.0,2,0.08333333333333333,0.08333333333333333,108.62243196729932,0.163587999950752,0.12069159107477702,14,0.0,0.0,0.0,9.032549392286175,5.961287533273721,9.50561892904599,9.032549392286175,0.7849145449847035,58,0.6180842035690107,0.07267430065732228,0.13685020468979836,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038635699580980925,0.0,0.0,12.0,181,0,12.0,0.9166666666666666,0.9166666666666666,1.0,0.6833333333333333,0.25641818204203637,0.30000000000000004,74.02318788192184,0,1
823610875,no_relay_hetero,delayed,autonomous,degraded,degraded,full_delivery,baseline,1,57,44,1,57,11,11,2.0,1,0.08333333333333333,0.08333333333333333,99.82826462582793,0.1436377908285294,0.1109202940286977,0,0.0,0.0,0.0,7.984372045837297,5.123551590146198,9.238842929009587,7.9711580105018305,0.6653643371531082,58,1.2294487547911148,0.045459738732180455,0.08447615127134608,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003967009219581028,0.0,0.0,12.0,181,0,12.0,0.9166666666666666,0.9166666666666666,0.5,0.6833333333333333,0.34710095077941183,1.0,73.29274664424509,0,1
823611884,no_relay_hetero,delayed,autonomous,degraded,degraded,full_delivery,baseline,1,57,45,1,57,11,10,2.0,1,0.08333333333333333,0.08333333333333333,94.81438134945729,0.1440948044824579,0.1053493126105081,12,0.0,0.0,0.0,8.216366025180923,5.237539925648381,8.914888554145257,8.206877488939856,0.7184511675948367,58,0.9099248072868422,0.3592819098800639,0.3603598286699693,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003684534129508034,0.0,0.0,12.0,181,0,12.0,0.8333333333333334,0.9166666666666666,0.5,0.6833333333333333,0.3450236159888277,0.4,65.26366395717693,0,1
823612893,no_relay_hetero,delayed,autonomous,degraded,degraded,full_delivery,baseline,1,56,45,1,56,11,11,2.0,1,0.08333333333333333,0.08333333333333333,91.3702636303235,0.13843979337927803,0.1015225151448039,11,0.0,0.0,0.0,9.647137451248474,6.633771748981076,9.75185768760819,9.647137451248474,0.8285912442136243,57,1.185278429578318,0.0820363282939347,0.11165318912255942,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004415382154789672,0.0,0.0,12.0,181,0,12.0,0.9166666666666666,0.9166666666666666,0.5,0.6888888888888889,0.3707282119123726,0.44999999999999996,68.21241718899543,0,1
823613902,no_relay_hetero,delayed,autonomous,degraded,degraded,full_delivery,baseline,1,54,44,1,54,12,12,2.0,2,0.0,0.0,73.24031122546168,0.1109701685234268,0.08137812358384632,9,0.0,0.0,0.0,9.915180627332665,7.4482353328749005,10.479598092811724,9.915180627332665,0.8262650522777222,55,0.47412365039210325,0.12578566467072605,0.1284238372680847,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011165814671620906,0.0,0.0,12.0,181,0,12.0,1.0,1.0,1.0,0.7,0.4955901430753328,0.55,83.63826200305466,1,1
823614911,no_relay_hetero,delayed,autonomous,degraded,degraded,full_delivery,baseline,1,57,45,1,57,11,10,2.0,1,0.08333333333333333,0.08333333333333333,74.29680431667065,0.11257091563131916,0.08255200479630072,0,0.0,0.0,0.0,7.645552889892338,4.109373070919605,9.387138725187603,7.645552889892338,0.6648598383668332,58,0.9555171175038514,0.08741349114818142,0.09126883303303408,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006343155255574369,0.0,0.0,12.0,181,0,12.0,0.8333333333333334,0.9166666666666666,0.5,0.6833333333333333,0.4883140198576402,1.0,73.2697296113403,0,1
823615920,no_relay_hetero,delayed,autonomous,degraded,degraded,full_delivery,baseline,1,56,44,1,56,11,10,2.0,1,0.08333333333333333,0.08333333333333333,71.75366989277033,0.1100516409398318,0.07972629988085593,9,0.0,0.0,0.0,8.354498867211339,5.18419393632929,8.792375954220049,8.339929470453987,0.7247646672902304,57,1.0717991390148989,0.17098845844113697,0.18915027840754434,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013646215064434788,0.0,0.0,12.0,181,0,12.0,0.8333333333333334,0.9166666666666666,0.5,0.6888888888888889,0.49976526845531,0.55,69.01893598059658,0,1
823616929,no_relay_hetero,delayed,autonomous,degraded,degraded,full_delivery,baseline,1,56,46,1,56,11,10,2.0,1,0.08333333333333333,0.08333333333333333,104.30240836075474,0.16399749742257033,0.11589156484528304,15,0.0,0.0,0.0,8.814551648990879,6.33411086479624,8.733612810815536,8.815566224333244,0.7870827990979917,57,0.9118205552675943,0.05855081012895624,0.14017959044504452,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038381505171558848,0.0,0.0,12.0,181,0,12.0,0.8333333333333334,0.9166666666666666,0.5,0.6888888888888889,0.2545568298974076,0.25,62.586017840785935,0,1
823617938,no_relay_hetero,delayed,autonomous,degraded,degraded,full_delivery,baseline,1,59,44,1,59,11,11,2.0,2,0.08333333333333333,0.08333333333333333,68.14738228667247,0.09963067585770828,0.0757193136518583,6,0.0,0.0,0.0,7.786112375749739,4.643386773580801,9.543090312439553,7.786112375749739,0.6770944032814883,60,0.8979343477230348,0.24503304762548161,0.24812500067941193,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013622444207918936,0.0,0.0,12.0,181,0,12.0,0.9166666666666666,0.9166666666666666,1.0,0.6722222222222223,0.5471332915558714,0.7,81.91542163733774,0,1
