stress,contrast,metric,delta,ci95_low,ci95_high
degraded,crowd_vector_minus_auto,safe_delivery_success,-0.07638888888888888,-0.1111111111111111,-0.04513888888888889
degraded,consensus_gated_minus_auto,safe_delivery_success,-0.06597222222222221,-0.10069444444444445,-0.03125
degraded,stale_hold_minus_auto,safe_delivery_success,-0.0798611111111111,-0.11458333333333333,-0.04861111111111111
degraded,relay_rich_minus_no_relay,safe_delivery_success,-0.010416666666666664,-0.034722222222222224,0.013888888888888888
degraded,crowd_vector_minus_auto,operational_score,-2.792077408503573,-3.904566149651069,-1.6337814960170247
degraded,consensus_gated_minus_auto,operational_score,-1.9683500153557247,-3.0961872199039204,-0.8414953346616065
degraded,stale_hold_minus_auto,operational_score,-2.7758409214227413,-3.8911251466990087,-1.7281853934686768
degraded,relay_rich_minus_no_relay,operational_score,0.19314278597522616,-0.9899558755022443,1.2475674079613996
degraded,crowd_vector_minus_auto,degraded_outcome,0.07638888888888895,0.04513888888888895,0.11111111111111116
degraded,consensus_gated_minus_auto,degraded_outcome,0.06597222222222221,0.03125,0.10416666666666663
degraded,stale_hold_minus_auto,degraded_outcome,0.07986111111111116,0.04861111111111116,0.11111111111111116
degraded,relay_rich_minus_no_relay,degraded_outcome,0.01041666666666663,-0.01388888888888895,0.03472222222222221
degraded,crowd_vector_minus_auto,attrition_rate,0.019097222222222217,0.007233796296296294,0.03009982638888885
degraded,consensus_gated_minus_auto,attrition_rate,0.0083912037037037,-0.002025462962962965,0.019104456018518488
degraded,stale_hold_minus_auto,attrition_rate,0.015914351851851853,0.004629629629629636,0.027495659722222187
degraded,relay_rich_minus_no_relay,attrition_rate,0.0008680555555555594,-0.012152777777777776,0.01216001157407404
degraded,crowd_vector_minus_auto,mean_effective_map_delay,0.0,-0.23619791666666715,0.24305555555555539
degraded,consensus_gated_minus_auto,mean_effective_map_delay,0.0,-0.25,0.26041666666666696
degraded,stale_hold_minus_auto,mean_effective_map_delay,0.0,-0.23272569444444483,0.25
degraded,relay_rich_minus_no_relay,mean_effective_map_delay,-4.0,-4.0,-4.0
severe,crowd_vector_minus_auto,safe_delivery_success,-0.04166666666666667,-0.08680555555555555,8.68055555550819e-05
severe,consensus_gated_minus_auto,safe_delivery_success,-0.04166666666666667,-0.08333333333333334,0.0
severe,stale_hold_minus_auto,safe_delivery_success,-0.07291666666666667,-0.1111111111111111,-0.03810763888888936
severe,relay_rich_minus_no_relay,safe_delivery_success,-0.03819444444444445,-0.07291666666666666,-0.0069444444444444475
severe,crowd_vector_minus_auto,operational_score,-0.29775191377021315,-1.4546987827407207,0.8517917239601034
severe,consensus_gated_minus_auto,operational_score,-0.6459813022454881,-1.75197224018024,0.5179975300554203
severe,stale_hold_minus_auto,operational_score,-1.84245388234352,-3.043127194132873,-0.6620822027083304
severe,relay_rich_minus_no_relay,operational_score,-1.0109332232153747,-2.171910153358737,0.18317110481398016
severe,crowd_vector_minus_auto,degraded_outcome,0.04166666666666663,-8.680555555555031e-05,0.08333333333333337
severe,consensus_gated_minus_auto,degraded_outcome,0.04166666666666663,0.0,0.08680555555555558
severe,stale_hold_minus_auto,degraded_outcome,0.07291666666666663,0.03472222222222221,0.11111111111111116
severe,relay_rich_minus_no_relay,degraded_outcome,0.03819444444444442,0.00347222222222221,0.07291666666666663
severe,crowd_vector_minus_auto,attrition_rate,-0.0017361111111111188,-0.015046296296296287,0.010416666666666664
severe,consensus_gated_minus_auto,attrition_rate,-0.0049189814814814894,-0.017650462962962965,0.007523148148148141
severe,stale_hold_minus_auto,attrition_rate,0.010127314814814811,-0.004340277777777763,0.024016203703703706
severe,relay_rich_minus_no_relay,attrition_rate,0.026620370370370378,0.013302951388888873,0.03993055555555555
severe,crowd_vector_minus_auto,mean_effective_map_delay,0.0,-0.41675347222222336,0.413541666666665
severe,consensus_gated_minus_auto,mean_effective_map_delay,0.0,-0.44800347222222336,0.4166666666666661
severe,stale_hold_minus_auto,mean_effective_map_delay,0.0,-0.4167534722222216,0.39930555555555536
severe,relay_rich_minus_no_relay,mean_effective_map_delay,-7.0,-7.0,-7.0
