variant,stress_base,contrast,metric,delta,ci95_low,ci95_high,expected_direction
degraded_robust_00,degraded,crowd_minus_auto,safe_delivery_success,0.0,-0.21953124999999996,0.25,positive
degraded_robust_00,degraded,relay_rich_minus_no_relay,safe_delivery_success,-0.0625,-0.3125,0.15625,negative
degraded_robust_00,degraded,crowd_minus_auto,operational_score,1.2743136716317878,-1.1443879395154952,3.600997542275369,positive
degraded_robust_00,degraded,relay_rich_minus_no_relay,operational_score,-0.1612834265540215,-2.5403090991162642,2.271868579421228,negative
degraded_robust_00,degraded,crowd_minus_auto,degraded_outcome,-0.09375,-0.3125,0.12578124999999574,negative
degraded_robust_00,degraded,relay_rich_minus_no_relay,degraded_outcome,0.03125,-0.21875,0.25,positive
degraded_robust_00,degraded,crowd_minus_auto,attrition_rate,0.005208333333333336,-0.02083333333333333,0.031249999999999993,negative
degraded_robust_00,degraded,relay_rich_minus_no_relay,attrition_rate,0.005208333333333329,-0.020833333333333336,0.031249999999999993,positive
degraded_robust_01,degraded,crowd_minus_auto,safe_delivery_success,0.03125,-0.1875,0.25,positive
degraded_robust_01,degraded,relay_rich_minus_no_relay,safe_delivery_success,0.09375,-0.15625,0.3125,negative
degraded_robust_01,degraded,crowd_minus_auto,operational_score,1.1636298541048973,-1.5831248335661308,3.912003260358163,positive
degraded_robust_01,degraded,relay_rich_minus_no_relay,operational_score,1.0466843168929358,-1.788901701653945,3.8034573253201223,negative
degraded_robust_01,degraded,crowd_minus_auto,degraded_outcome,-0.03125,-0.25,0.21875,negative
degraded_robust_01,degraded,relay_rich_minus_no_relay,degraded_outcome,-0.03125,-0.28125,0.1875,positive
degraded_robust_01,degraded,crowd_minus_auto,attrition_rate,0.010416666666666668,-0.005208333333333336,0.028645833333333336,negative
degraded_robust_01,degraded,relay_rich_minus_no_relay,attrition_rate,-0.005208333333333332,-0.0234375,0.013020833333333332,positive
degraded_robust_02,degraded,crowd_minus_auto,safe_delivery_success,0.25,0.03125,0.46875,positive
degraded_robust_02,degraded,relay_rich_minus_no_relay,safe_delivery_success,0.0,-0.25,0.25,negative
degraded_robust_02,degraded,crowd_minus_auto,operational_score,4.552617728108615,1.578705716965045,7.4369329530110795,positive
degraded_robust_02,degraded,relay_rich_minus_no_relay,operational_score,-0.7500002567662136,-4.155118444747707,2.241226096832601,negative
degraded_robust_02,degraded,crowd_minus_auto,degraded_outcome,-0.25,-0.46875,-0.03125,negative
degraded_robust_02,degraded,relay_rich_minus_no_relay,degraded_outcome,0.0,-0.25,0.25,positive
degraded_robust_02,degraded,crowd_minus_auto,attrition_rate,-0.031249999999999993,-0.0625,-0.0026041666666666644,negative
degraded_robust_02,degraded,relay_rich_minus_no_relay,attrition_rate,-0.015624999999999993,-0.04687499999999999,0.015624999999999993,positive
degraded_robust_03,degraded,crowd_minus_auto,safe_delivery_success,0.28125,0.03125,0.5,positive
degraded_robust_03,degraded,relay_rich_minus_no_relay,safe_delivery_success,-0.09375,-0.34375,0.125,negative
degraded_robust_03,degraded,crowd_minus_auto,operational_score,6.1462541875882835,3.419389824772455,8.974468026903518,positive
degraded_robust_03,degraded,relay_rich_minus_no_relay,operational_score,-0.6567545375237671,-4.055227204007988,2.678831383422882,negative
degraded_robust_03,degraded,crowd_minus_auto,degraded_outcome,-0.28125,-0.5,-0.03125,negative
degraded_robust_03,degraded,relay_rich_minus_no_relay,degraded_outcome,0.09375,-0.15625,0.34375,positive
degraded_robust_03,degraded,crowd_minus_auto,attrition_rate,-0.02864583333333333,-0.06256510416666668,0.010416666666666661,negative
degraded_robust_03,degraded,relay_rich_minus_no_relay,attrition_rate,0.04427083333333333,0.0078125,0.08593749999999999,positive
degraded_robust_04,degraded,crowd_minus_auto,safe_delivery_success,-0.03125,-0.25,0.21875,positive
degraded_robust_04,degraded,relay_rich_minus_no_relay,safe_delivery_success,0.03125,-0.1875,0.28125,negative
degraded_robust_04,degraded,crowd_minus_auto,operational_score,-0.5252572477348991,-3.5761764246143537,2.468099123048315,positive
