layer,stress,score_weights,contrast,metric,delta,ci95_low,ci95_high,supports_harm
q2_confirmatory,degraded,original,relay_rich_minus_no_relay,alternative_operational_score,-1.4621770916148051,-2.3432066255708133,-0.5754295535338062,True
q2_confirmatory,severe,original,relay_rich_minus_no_relay,alternative_operational_score,-1.6084914168822309,-2.4173262075069855,-0.7787681685135859,True
q2_confirmatory,degraded,survival_heavy,relay_rich_minus_no_relay,alternative_operational_score,-1.7287673729417747,-2.5567707277139564,-0.9453587384480531,True
q2_confirmatory,severe,survival_heavy,relay_rich_minus_no_relay,alternative_operational_score,-1.9133954764984225,-2.7010084819650553,-1.0224831288240819,True
q2_confirmatory,degraded,payload_heavy,relay_rich_minus_no_relay,alternative_operational_score,-1.3661990823555215,-2.42375048694952,-0.1971672663408604,True
q2_confirmatory,severe,payload_heavy,relay_rich_minus_no_relay,alternative_operational_score,-1.207768037252606,-2.281930070700979,-0.18282525301026617,True
q2_confirmatory,degraded,exposure_heavy,relay_rich_minus_no_relay,alternative_operational_score,-1.9090509436719145,-2.825941261937458,-1.0105414675287794,True
q2_confirmatory,severe,exposure_heavy,relay_rich_minus_no_relay,alternative_operational_score,-1.681059649932834,-2.636525306780004,-0.7629891740424473,True
q2_confirmatory,degraded,progress_heavy,relay_rich_minus_no_relay,alternative_operational_score,-1.524265052211632,-2.3966684086241186,-0.7141893006099129,True
q2_confirmatory,severe,progress_heavy,relay_rich_minus_no_relay,alternative_operational_score,-1.8369639419529165,-2.7235367219538675,-0.909099799524246,True
q2_confirmatory,degraded,time_heavy,relay_rich_minus_no_relay,alternative_operational_score,-1.2811550996909915,-2.039995983726322,-0.505050949711956,True
q2_confirmatory,severe,time_heavy,relay_rich_minus_no_relay,alternative_operational_score,-1.4995071933064708,-2.2998832933200157,-0.7152315704547442,True
relay_sweep,degraded,original,relay_rich_minus_no_relay,alternative_operational_score,-1.1588131247498978,-2.021875343562747,-0.41214903874076114,True
relay_sweep,severe,original,relay_rich_minus_no_relay,alternative_operational_score,-1.522692732791441,-2.30251245814989,-0.7836041673237625,True
relay_sweep,degraded,survival_heavy,relay_rich_minus_no_relay,alternative_operational_score,-1.4303977178966818,-2.1728621902561427,-0.7111809540811814,True
relay_sweep,severe,survival_heavy,relay_rich_minus_no_relay,alternative_operational_score,-1.8420412055750575,-2.5766748824963757,-1.0715907629858823,True
relay_sweep,degraded,payload_heavy,relay_rich_minus_no_relay,alternative_operational_score,-0.9567066432684186,-1.9445800960789257,0.06490427658447624,True
relay_sweep,severe,payload_heavy,relay_rich_minus_no_relay,alternative_operational_score,-1.1625769920507025,-2.120671510292875,-0.2239764862509246,True
relay_sweep,degraded,exposure_heavy,relay_rich_minus_no_relay,alternative_operational_score,-1.5071127805487379,-2.388767895311445,-0.7158051622540511,True
relay_sweep,severe,exposure_heavy,relay_rich_minus_no_relay,alternative_operational_score,-1.6708164379922295,-2.5301293783534273,-0.9135455092568241,True
relay_sweep,degraded,progress_heavy,relay_rich_minus_no_relay,alternative_operational_score,-1.2400020996891072,-2.0133351549677565,-0.46693140368827346,True
relay_sweep,severe,progress_heavy,relay_rich_minus_no_relay,alternative_operational_score,-1.7365993064912573,-2.5316911447284003,-0.9355222620711113,True
relay_sweep,degraded,time_heavy,relay_rich_minus_no_relay,alternative_operational_score,-1.0385395566639346,-1.740396647587731,-0.3890887359817656,True
relay_sweep,severe,time_heavy,relay_rich_minus_no_relay,alternative_operational_score,-1.4579099085302403,-2.1540611075392486,-0.7470870950896288,True
