stress,contrast,metric,delta,ci95_low,ci95_high
degraded,crowd_vector_minus_auto,safe_delivery_success,0.15625,-0.0625,0.39140624999999574
degraded,consensus_gated_minus_auto,safe_delivery_success,0.09375,-0.125,0.3125
degraded,relay_rich_minus_no_relay,safe_delivery_success,-0.33333333333333337,-0.6052083333333333,-0.08333333333333331
degraded,crowd_vector_minus_auto,operational_score,6.396678168107059,-1.0572728344772957,13.730326740469803
degraded,consensus_gated_minus_auto,operational_score,7.058089468782299,0.12820491769139702,14.376648566438067
degraded,relay_rich_minus_no_relay,operational_score,1.368684446567599,-6.210290829160317,9.784401162145508
degraded,crowd_vector_minus_auto,degraded_outcome,-0.15625,-0.40625,0.09375
degraded,consensus_gated_minus_auto,degraded_outcome,-0.09375,-0.34375,0.14140624999999574
degraded,relay_rich_minus_no_relay,degraded_outcome,0.3333333333333333,0.08333333333333326,0.5833333333333334
degraded,crowd_vector_minus_auto,attrition_rate,-0.005208333333333343,-0.0390625,0.028645833333333322
degraded,consensus_gated_minus_auto,attrition_rate,-0.0026041666666666782,-0.03645833333333333,0.031249999999999972
degraded,relay_rich_minus_no_relay,attrition_rate,0.1145833333333333,0.07986111111111109,0.1493055555555555
degraded,crowd_vector_minus_auto,payload_delivery_rate,0.09375,-0.046875,0.22695312499999787
degraded,consensus_gated_minus_auto,payload_delivery_rate,0.125,0.0,0.25
degraded,relay_rich_minus_no_relay,payload_delivery_rate,0.08333333333333326,-0.0625,0.22916666666666674
degraded,crowd_vector_minus_auto,mean_hazard_exposure,-0.012207149435804282,-0.03534105953349503,0.009195384125010692
degraded,consensus_gated_minus_auto,mean_hazard_exposure,-0.014711612012703185,-0.040229136450007724,0.009542092448047875
degraded,relay_rich_minus_no_relay,mean_hazard_exposure,-0.025626955112970085,-0.05216458596174564,0.00015877619071111572
degraded,relay_rich_minus_no_relay,mean_effective_map_delay,-12.0,-12.0,-12.0
severe,crowd_vector_minus_auto,safe_delivery_success,0.0,-0.21875,0.20390624999999574
severe,consensus_gated_minus_auto,safe_delivery_success,0.0625,-0.15625,0.28125
severe,relay_rich_minus_no_relay,safe_delivery_success,-0.625,-0.7916666666666666,-0.4166666666666667
severe,crowd_vector_minus_auto,operational_score,3.1958355116768615,-3.671300547581675,10.172591942261645
severe,consensus_gated_minus_auto,operational_score,3.8552941572513504,-2.6761956430688865,10.351535598107784
severe,relay_rich_minus_no_relay,operational_score,-5.836438122526644,-12.98429967784727,1.391057944454748
severe,crowd_vector_minus_auto,degraded_outcome,0.0,-0.21875,0.21875
severe,consensus_gated_minus_auto,degraded_outcome,-0.0625,-0.28125,0.15625
severe,relay_rich_minus_no_relay,degraded_outcome,0.625,0.41666666666666663,0.8333333333333334
severe,crowd_vector_minus_auto,attrition_rate,0.0026041666666666574,-0.03125000000000001,0.0390625
severe,consensus_gated_minus_auto,attrition_rate,0.013020833333333329,-0.026041666666666664,0.04947916666666667
severe,relay_rich_minus_no_relay,attrition_rate,0.14930555555555552,0.12317708333333328,0.1770833333333333
severe,crowd_vector_minus_auto,payload_delivery_rate,0.0625,-0.0625,0.1875
severe,consensus_gated_minus_auto,payload_delivery_rate,0.0625,-0.0625,0.171875
severe,relay_rich_minus_no_relay,payload_delivery_rate,-0.04166666666666674,-0.16666666666666674,0.08333333333333337
severe,crowd_vector_minus_auto,mean_hazard_exposure,0.008629205616617841,-0.017320248158006875,0.03375052431677656
severe,consensus_gated_minus_auto,mean_hazard_exposure,0.0007956124400958497,-0.024026765963006767,0.026290689647327576
severe,relay_rich_minus_no_relay,mean_hazard_exposure,-0.011353169337411068,-0.03939132214000146,0.019114919925593447
severe,relay_rich_minus_no_relay,mean_effective_map_delay,-22.0,-22.0,-22.0
