environment,team,relay_count,map_mode,command_mode,stress,seed,mission_success,safe_delivery_success,degraded_outcome,payload_delivery_rate,mean_progress,operational_score,attrition_rate,mean_hazard_exposure,mean_effective_map_delay,packet_loss,completion_step,mean_command_consensus,command_reversal_rate
webots_physics,no_relay_hetero,0,delayed_hazard,autonomous,degraded,2084759348,0,0,1,0.5,0.7215499663829893,64.38713478985194,0.0,0.13594396120011076,18,0.1,760,0.0,0.0
webots_physics,no_relay_hetero,0,delayed_hazard,autonomous,degraded,2101536967,0,0,1,0.5,0.6159380912022766,56.18527319013376,0.0,0.23309555997807216,18,0.1,760,0.0,0.0
webots_physics,no_relay_hetero,0,delayed_hazard,autonomous,degraded,2118314586,1,1,0,1.0,0.923724772094063,93.3284266112264,0.0,0.0829880214691046,18,0.1,456,0.0,0.0
webots_physics,no_relay_hetero,0,delayed_hazard,autonomous,degraded,2135092205,0,0,1,0.0,0.7275500240095246,38.86603436599331,0.0,0.2159171350326049,18,0.1,760,0.0,0.0
webots_physics,no_relay_hetero,0,delayed_hazard,autonomous,degraded,2017648872,0,0,1,0.5,0.6928782260087788,57.629077424210685,0.0,0.25208969214337335,18,0.1,760,0.0,0.0
webots_physics,no_relay_hetero,0,delayed_hazard,autonomous,degraded,2034426491,0,0,1,0.5,0.8834147257969446,66.94183249946687,0.0,0.15874493005131085,18,0.1,760,0.0,0.0
webots_physics,no_relay_hetero,0,delayed_hazard,autonomous,degraded,2051204110,1,1,0,1.0,0.8500766704791697,90.86368486064791,0.0,0.09493980395746555,18,0.1,530,0.0,0.0
webots_physics,no_relay_hetero,0,delayed_hazard,autonomous,degraded,2067981729,1,1,0,1.0,0.879383223559442,88.73930359321515,0.0,0.14341532180933905,18,0.1,567,0.0,0.0
webots_physics,no_relay_hetero,0,delayed_hazard,autonomous,severe,984692782,0,0,1,0.5,0.7909208002771712,63.28587800358964,0.0,0.18336379205249956,34,0.22,760,0.0,0.0
webots_physics,no_relay_hetero,0,delayed_hazard,autonomous,severe,1001470401,1,1,0,1.0,0.7892148968612359,87.38771306711058,0.0,0.12948761927244132,34,0.22,637,0.0,0.0
webots_physics,no_relay_hetero,0,delayed_hazard,autonomous,severe,951137544,1,1,0,1.0,0.8441080505461535,90.32401560918326,0.0,0.10173561606727598,34,0.22,540,0.0,0.0
webots_physics,no_relay_hetero,0,delayed_hazard,autonomous,severe,967915163,1,1,0,1.0,0.8393505894405333,90.46354538818638,0.0,0.09738632157233845,34,0.22,436,0.0,0.0
webots_physics,no_relay_hetero,0,delayed_hazard,autonomous,severe,1051803258,1,1,0,1.0,0.9249800176243452,89.06385125044285,0.0,0.15661147152928187,34,0.22,695,0.0,0.0
webots_physics,no_relay_hetero,0,delayed_hazard,autonomous,severe,1068580877,0,0,1,0.5,0.968959583662091,66.99381451176714,0.0,0.19304940850496646,34,0.22,760,0.0,0.0
webots_physics,no_relay_hetero,0,delayed_hazard,autonomous,severe,1018248020,0,0,1,0.5,0.7597315073148958,59.2335561755575,0.0,0.24095240040602114,34,0.22,760,0.0,0.0
webots_physics,no_relay_hetero,0,delayed_hazard,autonomous,severe,1035025639,1,1,0,1.0,0.9382300543049817,87.72654603838559,0.0,0.18498814739886804,34,0.22,730,0.0,0.0
webots_physics,no_relay_hetero,0,delayed_hazard,crowd_vector,degraded,3115483687,1,1,0,1.0,0.9599256006832793,92.83056777848256,0.0,0.1064167995071337,18,0.1,546,0.9156282023085306,0.0
webots_physics,no_relay_hetero,0,delayed_hazard,crowd_vector,degraded,3098706068,0,0,1,0.5,0.7918370894904033,61.652142374412314,0.0,0.21174767611469783,18,0.1,760,0.9295060781235921,0.0
webots_physics,no_relay_hetero,0,delayed_hazard,crowd_vector,degraded,3149038925,1,1,0,1.0,0.9345053958880417,93.02453522552955,0.0,0.09263304472771632,18,0.1,444,0.9108938974819631,0.0
webots_physics,no_relay_hetero,0,delayed_hazard,crowd_vector,degraded,3132261306,1,1,0,1.0,0.8791241747307906,91.36026253117362,0.0,0.09837801706912007,18,0.1,461,0.8962473048949204,0.0
webots_physics,no_relay_hetero,0,delayed_hazard,crowd_vector,degraded,3048373211,0,0,1,0.5,0.8924975005029809,64.7324917968122,0.0,0.2003562551187315,18,0.1,760,0.920738387443296,0.0
webots_physics,no_relay_hetero,0,delayed_hazard,crowd_vector,degraded,3031595592,1,1,0,1.0,0.8452450125698562,90.3008249936893,0.0,0.1026009481369241,18,0.1,618,0.9247465472213041,0.0
webots_physics,no_relay_hetero,0,delayed_hazard,crowd_vector,degraded,3081928449,1,1,0,1.0,0.9948149622618966,93.95295175001539,0.0,0.10153041161605937,18,0.1,474,0.9099767393330683,0.0
webots_physics,no_relay_hetero,0,delayed_hazard,crowd_vector,degraded,3065150830,0,0,1,0.5,0.9826205695240033,67.86953733683809,0.0,0.18365753711550845,18,0.1,760,0.9179530209405602,0.0
webots_physics,no_relay_hetero,0,delayed_hazard,crowd_vector,severe,640376689,1,1,0,1.0,0.9195435097003642,90.14738940889397,0.0,0.13579979698139608,34,0.22,675,0.8747399817042483,0.0
webots_physics,no_relay_hetero,0,delayed_hazard,crowd_vector,severe,623599070,1,1,0,1.0,0.8687593199395093,88.68956404741408,0.0,0.13989702224801384,34,0.22,481,0.8788524077124216,0.0
webots_physics,no_relay_hetero,0,delayed_hazard,crowd_vector,severe,606821451,1,1,0,1.0,0.7325037054148137,85.06945665406009,0.0,0.14589655330106435,34,0.22,676,0.8438135437633852,0.0
webots_physics,no_relay_hetero,0,delayed_hazard,crowd_vector,severe,590043832,1,0,1,1.0,0.6965072273852718,85.29107848017634,0.08333333333333337,0.09871591389263183,34,0.22,409,0.8775043147842775,0.0
webots_physics,no_relay_hetero,0,delayed_hazard,crowd_vector,severe,707487165,1,1,0,1.0,0.6667774325871664,84.21210978810579,0.0,0.13355226161119196,34,0.22,581,0.8547187510336508,0.0
webots_physics,no_relay_hetero,0,delayed_hazard,crowd_vector,severe,690709546,0,0,1,0.5,0.7787295753460302,59.68950980830472,0.0,0.31901913513792085,34,0.22,760,0.8844780176883241,0.0
webots_physics,no_relay_hetero,0,delayed_hazard,crowd_vector,severe,673931927,0,0,1,0.5,0.8645330363019311,66.36231638909055,0.0,0.1609110254083852,34,0.22,760,0.8747819319648872,0.0
webots_physics,no_relay_hetero,0,delayed_hazard,crowd_vector,severe,657154308,1,1,0,1.0,0.9961087743405367,94.06231245951258,0.0,0.10018796785131948,34,0.22,502,0.8713080272977718,0.0
webots_physics,no_relay_hetero,0,delayed_hazard,consensus_gated,degraded,3302453807,1,1,0,1.0,0.9115230952010629,91.73305218523848,0.0,0.1053171788500632,18,0.1,621,0.9158871624277221,0.0
