stress,exposure_cut,recovery_cut,point_means_by_k,selection_frequency_by_k,weight_k_le_1,weight_k_ge_2,weight_k_ge_3,weight_k2
degraded,0.1,4,"[0.279167, 0.204167, 0.191667, 0.172917, 0.11875]","[0.997, 0.003, 0.0, 0.0, 0.0]",1.0,0.0,0.0,0.0
severe,0.1,4,"[0.204167, 0.1375, 0.147917, 0.110417, 0.085417]","[0.987, 0.0013, 0.0118, 0.0, 0.0]",0.9882,0.0118,0.0,0.0118
degraded,0.1,6,"[0.28125, 0.204167, 0.191667, 0.172917, 0.11875]","[0.998, 0.0018, 0.0003, 0.0, 0.0]",0.9998,0.0003,0.0,0.0003
severe,0.1,6,"[0.204167, 0.1375, 0.147917, 0.110417, 0.085417]","[0.988, 0.0022, 0.0097, 0.0, 0.0]",0.9902,0.0097,0.0,0.0097
degraded,0.1,8,"[0.285417, 0.204167, 0.191667, 0.175, 0.11875]","[0.9965, 0.0025, 0.001, 0.0, 0.0]",0.999,0.001,0.0,0.001
severe,0.1,8,"[0.204167, 0.139583, 0.147917, 0.110417, 0.085417]","[0.9922, 0.0013, 0.0065, 0.0, 0.0]",0.9935,0.0065,0.0,0.0065
degraded,0.1,10,"[0.285417, 0.204167, 0.191667, 0.175, 0.11875]","[0.9978, 0.0018, 0.0005, 0.0, 0.0]",0.9995,0.0005,0.0,0.0005
severe,0.1,10,"[0.204167, 0.139583, 0.147917, 0.110417, 0.085417]","[0.9832, 0.005, 0.0118, 0.0, 0.0]",0.9882,0.0118,0.0,0.0118
degraded,0.1,12,"[0.285417, 0.204167, 0.191667, 0.175, 0.11875]","[0.9985, 0.001, 0.0005, 0.0, 0.0]",0.9995,0.0005,0.0,0.0005
severe,0.1,12,"[0.204167, 0.139583, 0.147917, 0.110417, 0.085417]","[0.9845, 0.0035, 0.012, 0.0, 0.0]",0.988,0.012,0.0,0.012
degraded,0.1,14,"[0.285417, 0.204167, 0.191667, 0.175, 0.11875]","[0.9995, 0.0005, 0.0, 0.0, 0.0]",1.0,0.0,0.0,0.0
severe,0.1,14,"[0.204167, 0.139583, 0.147917, 0.110417, 0.085417]","[0.9885, 0.0025, 0.009, 0.0, 0.0]",0.991,0.009,0.0,0.009
degraded,0.1,16,"[0.285417, 0.204167, 0.191667, 0.175, 0.11875]","[1.0, 0.0, 0.0, 0.0, 0.0]",1.0,0.0,0.0,0.0
severe,0.1,16,"[0.204167, 0.139583, 0.147917, 0.110417, 0.085417]","[0.992, 0.0025, 0.0055, 0.0, 0.0]",0.9945,0.0055,0.0,0.0055
degraded,0.12,4,"[0.38125, 0.354167, 0.352083, 0.327083, 0.31875]","[0.7132, 0.1418, 0.1298, 0.0125, 0.0027]",0.855,0.145,0.0152,0.1298
severe,0.12,4,"[0.2875, 0.2625, 0.239583, 0.214583, 0.19375]","[0.8017, 0.1724, 0.0227, 0.0032, 0.0]",0.9741,0.0259,0.0032,0.0227
degraded,0.12,6,"[0.383333, 0.354167, 0.352083, 0.327083, 0.31875]","[0.7431, 0.1301, 0.1098, 0.0118, 0.0053]",0.8732,0.1268,0.017,0.1098
severe,0.12,6,"[0.2875, 0.2625, 0.239583, 0.214583, 0.19375]","[0.7915, 0.1785, 0.0295, 0.0005, 0.0]",0.97,0.03,0.0005,0.0295
degraded,0.12,8,"[0.416667, 0.372917, 0.35625, 0.335417, 0.329167]","[0.9083, 0.0737, 0.014, 0.002, 0.002]",0.982,0.018,0.004,0.014
severe,0.12,8,"[0.297917, 0.277083, 0.25625, 0.216667, 0.197917]","[0.7522, 0.2132, 0.0339, 0.0008, 0.0]",0.9653,0.0347,0.0008,0.0339
degraded,0.12,10,"[0.429167, 0.383333, 0.3625, 0.347917, 0.339583]","[0.9225, 0.0663, 0.0073, 0.0015, 0.0025]",0.9888,0.0113,0.004,0.0073
severe,0.12,10,"[0.320833, 0.28125, 0.260417, 0.229167, 0.204167]","[0.9092, 0.0789, 0.0114, 0.0005, 0.0]",0.9881,0.0119,0.0005,0.0114
degraded,0.12,12,"[0.429167, 0.383333, 0.3625, 0.347917, 0.339583]","[0.9113, 0.0742, 0.011, 0.0018, 0.0018]",0.9855,0.0145,0.0035,0.011
severe,0.12,12,"[0.320833, 0.28125, 0.260417, 0.229167, 0.204167]","[0.8984, 0.0844, 0.0167, 0.0005, 0.0]",0.9828,0.0172,0.0005,0.0167
degraded,0.12,14,"[0.429167, 0.383333, 0.3625, 0.347917, 0.339583]","[0.9153, 0.0703, 0.0123, 0.0008, 0.0015]",0.9855,0.0145,0.0023,0.0123
severe,0.12,14,"[0.320833, 0.28125, 0.260417, 0.229167, 0.204167]","[0.903, 0.0848, 0.0118, 0.0005, 0.0]",0.9878,0.0123,0.0005,0.0118
degraded,0.12,16,"[0.429167, 0.383333, 0.3625, 0.347917, 0.339583]","[0.912, 0.074, 0.01, 0.003, 0.001]",0.986,0.014,0.004,0.01
severe,0.12,16,"[0.320833, 0.28125, 0.260417, 0.229167, 0.204167]","[0.8898, 0.0894, 0.0207, 0.0002, 0.0]",0.9792,0.0208,0.0002,0.0207
degraded,0.14,4,"[0.472917, 0.477083, 0.466667, 0.414583, 0.364583]","[0.31, 0.4547, 0.2315, 0.0037, 0.0]",0.7648,0.2353,0.0037,0.2315
severe,0.14,4,"[0.31875, 0.347917, 0.2875, 0.260417, 0.229167]","[0.1452, 0.8429, 0.0118, 0.0002, 0.0]",0.9881,0.0119,0.0002,0.0118
degraded,0.14,6,"[0.475, 0.477083, 0.466667, 0.414583, 0.364583]","[0.3542, 0.4319, 0.2109, 0.003, 0.0]",0.7861,0.2139,0.003,0.2109
severe,0.14,6,"[0.31875, 0.347917, 0.2875, 0.260417, 0.229167]","[0.1735, 0.8145, 0.0115, 0.0005, 0.0]",0.988,0.012,0.0005,0.0115
degraded,0.14,8,"[0.51875, 0.50625, 0.475, 0.427083, 0.375]","[0.6192, 0.3449, 0.0359, 0.0, 0.0]",0.9641,0.0359,0.0,0.0359
severe,0.14,8,"[0.333333, 0.3625, 0.30625, 0.264583, 0.241667]","[0.153, 0.8257, 0.0213, 0.0, 0.0]",0.9788,0.0213,0.0,0.0213
degraded,0.14,10,"[0.575, 0.529167, 0.4875, 0.45625, 0.395833]","[0.9233, 0.0755, 0.0013, 0.0, 0.0]",0.9988,0.0013,0.0,0.0013
severe,0.14,10,"[0.389583, 0.391667, 0.314583, 0.2875, 0.254167]","[0.4775, 0.5215, 0.001, 0.0, 0.0]",0.999,0.001,0.0,0.001
degraded,0.14,12,"[0.583333, 0.53125, 0.4875, 0.4625, 0.397917]","[0.9527, 0.0467, 0.0005, 0.0, 0.0]",0.9995,0.0005,0.0,0.0005
severe,0.14,12,"[0.397917, 0.391667, 0.316667, 0.291667, 0.25625]","[0.5723, 0.4273, 0.0005, 0.0, 0.0]",0.9995,0.0005,0.0,0.0005
degraded,0.14,14,"[0.583333, 0.533333, 0.4875, 0.4625, 0.397917]","[0.9415, 0.0575, 0.001, 0.0, 0.0]",0.999,0.001,0.0,0.001
severe,0.14,14,"[0.397917, 0.391667, 0.316667, 0.29375, 0.25625]","[0.5763, 0.4238, 0.0, 0.0, 0.0]",1.0,0.0,0.0,0.0
degraded,0.14,16,"[0.583333, 0.533333, 0.4875, 0.4625, 0.397917]","[0.937, 0.062, 0.001, 0.0, 0.0]",0.999,0.001,0.0,0.001
severe,0.14,16,"[0.397917, 0.391667, 0.316667, 0.29375, 0.25625]","[0.5757, 0.4243, 0.0, 0.0, 0.0]",1.0,0.0,0.0,0.0
degraded,0.15,4,"[0.49375, 0.527083, 0.53125, 0.466667, 0.429167]","[0.043, 0.4318, 0.522, 0.0032, 0.0]",0.4748,0.5252,0.0032,0.522
severe,0.15,4,"[0.335417, 0.385417, 0.327083, 0.272917, 0.254167]","[0.0428, 0.9323, 0.025, 0.0, 0.0]",0.975,0.025,0.0,0.025
degraded,0.15,6,"[0.495833, 0.527083, 0.53125, 0.466667, 0.429167]","[0.0531, 0.4276, 0.5184, 0.0009, 0.0]",0.4807,0.5192,0.0009,0.5184
severe,0.15,6,"[0.335417, 0.385417, 0.327083, 0.272917, 0.254167]","[0.039, 0.9405, 0.0205, 0.0, 0.0]",0.9795,0.0205,0.0,0.0205
degraded,0.15,8,"[0.541667, 0.560417, 0.541667, 0.479167, 0.44375]","[0.2013, 0.5811, 0.2171, 0.0005, 0.0]",0.7824,0.2176,0.0005,0.2171
severe,0.15,8,"[0.352083, 0.402083, 0.347917, 0.277083, 0.266667]","[0.0384, 0.9322, 0.0294, 0.0, 0.0]",0.9706,0.0294,0.0,0.0294
degraded,0.15,10,"[0.616667, 0.591667, 0.558333, 0.520833, 0.489583]","[0.7802, 0.2029, 0.0157, 0.0013, 0.0]",0.9831,0.0169,0.0013,0.0157
severe,0.15,10,"[0.441667, 0.44375, 0.35625, 0.308333, 0.285417]","[0.462, 0.537, 0.001, 0.0, 0.0]",0.999,0.001,0.0,0.001
degraded,0.15,12,"[0.635417, 0.595833, 0.5625, 0.5375, 0.495833]","[0.9025, 0.0912, 0.0053, 0.001, 0.0]",0.9937,0.0063,0.001,0.0053
severe,0.15,12,"[0.452083, 0.447917, 0.360417, 0.320833, 0.289583]","[0.5407, 0.4592, 0.0, 0.0, 0.0]",1.0,0.0,0.0,0.0
degraded,0.15,14,"[0.639583, 0.597917, 0.5625, 0.539583, 0.495833]","[0.915, 0.081, 0.004, 0.0, 0.0]",0.996,0.004,0.0,0.004
severe,0.15,14,"[0.452083, 0.447917, 0.360417, 0.322917, 0.289583]","[0.5603, 0.4397, 0.0, 0.0, 0.0]",1.0,0.0,0.0,0.0
